,final_score,num_moves,nodes_expanded,horizontal_distance,vertical_distance,euclidean_distance
229,-637,342,524897,133,156,205.0
230,-218,137,165269,35,86,92.84934033152847
231,-253,171,158857,78,64,100.89598604503551
232,-48,66,31027,27,28,38.897300677553446
233,-29,61,21674,16,35,38.48376280978771
234,-106,97,61748,17,62,64.28841264178172
235,-206,129,139614,15,100,101.11874208078342
236,-298,180,163416,119,36,124.32618388738553
237,-135,109,84683,33,56,65.0
238,-255,157,167158,101,26,104.29285689825551
239,-404,233,267413,129,65,144.4506836259351
240,-183,124,121156,86,21,88.52683209061533
241,-387,231,240491,92,97,133.6899397860587
242,-81,78,51182,24,43,49.24428900898052
243,-194,137,126089,41,68,79.40403012442127
244,-296,160,211252,130,12,130.5526713629407
245,-250,164,177653,30,103,107.28000745712129
246,-78,76,44991,56,4,56.142675390472796
247,-82,66,45736,3,55,55.08175741568164
248,-220,143,156345,100,24,102.83968105745953
249,-156,92,52121,80,6,80.22468448052632
250,-149,123,91526,39,58,69.8927750200262
251,-361,197,292587,30,135,138.2931668593933
252,-25,44,11069,3,38,38.118237105091836
253,3,50,11439,15,24,28.30194339616981
254,-135,104,90828,43,50,65.94694837519019
255,-99,83,55830,59,7,59.413803110051795
256,-530,279,438220,86,155,177.2596964907703
257,-425,211,331493,163,25,164.90603384958357
258,-115,103,53574,52,31,60.53924347066124
259,-348,170,183514,17,141,142.0211251891774
260,16,37,7285,26,4,26.30589287593181
261,-389,207,331248,146,32,149.46571513226704
262,-265,159,211126,77,65,100.7670581092849
263,-244,149,152131,105,24,107.70793842609746
264,-147,111,80443,41,56,69.40461079784254
265,-444,262,407536,103,109,149.96666296213968
266,-450,230,434577,76,129,149.7230777134908
